Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
3,89,No,8,7
5,60,Yes,8,5
3,63,Yes,6,8
1,77,Yes,4,1
1,42,Yes,8,4
8,79,No,6,5
2,70,Yes,7,7
3,80,No,7,3
2,76,No,9,6
3,41,Yes,5,6
7,41,Yes,8,3
1,78,No,6,0
8,88,No,9,2
2,81,No,6,1
3,83,Yes,4,2
9,73,Yes,9,4
7,81,No,6,0
4,59,No,8,4
5,72,No,6,1
2,43,Yes,5,3
8,84,Yes,7,5
4,83,No,7,8
9,50,Yes,9,9
5,81,No,6,5
9,86,Yes,6,9
4,44,No,6,1
5,64,Yes,6,7
9,88,Yes,5,4
8,99,Yes,8,8
3,76,Yes,5,9
1,73,Yes,5,8
3,48,Yes,5,3
4,45,Yes,7,0
2,57,No,5,8
1,53,No,6,8
7,58,No,5,7
8,53,Yes,6,4
7,79,Yes,9,4
5,56,Yes,8,9
1,99,No,7,5
7,74,No,8,0
7,68,No,9,8
9,81,No,8,4
3,56,No,7,6
9,98,No,6,7
1,82,Yes,9,4
1,47,No,9,2
4,40,Yes,6,5
9,84,No,6,6
6,92,No,7,3
3,75,Yes,5,8
1,46,Yes,4,3
4,85,Yes,5,9
9,44,No,5,1
3,63,No,8,8
9,67,Yes,4,3
7,82,No,6,3
4,56,Yes,5,9
3,76,No,7,0
5,59,No,5,1
5,42,No,6,2
3,76,Yes,5,6
9,65,No,9,8
4,54,Yes,8,4
5,90,Yes,8,3
4,87,Yes,5,1
5,47,Yes,8,6
7,52,Yes,7,5
9,87,Yes,4,6
7,42,Yes,5,7
5,40,Yes,7,8
7,48,Yes,9,9
5,70,No,7,4
3,80,Yes,7,4
7,93,No,9,3
2,65,Yes,6,2
9,56,No,5,6
1,95,No,5,4
6,73,No,5,6
7,48,No,4,1
8,95,No,7,8
9,90,No,5,8
2,52,Yes,8,8
2,44,Yes,6,4
5,80,Yes,9,9
5,52,Yes,9,8
6,40,Yes,4,0
3,64,Yes,9,1
8,86,No,6,9
1,43,Yes,7,4
6,75,No,9,4
4,91,No,9,5
1,49,No,8,7
7,67,No,7,0
9,96,No,5,9
4,45,No,6,8
4,66,Yes,9,3
6,95,No,8,7
3,51,No,6,4
6,91,Yes,4,0
7,87,Yes,8,8
3,42,Yes,4,7
7,85,Yes,9,4
3,72,Yes,8,3
2,49,Yes,5,7
4,70,Yes,6,8
8,54,No,6,6
9,46,Yes,7,3
7,75,No,8,6
1,53,Yes,8,5
3,95,Yes,4,2
9,87,No,8,9
1,53,Yes,6,2
9,42,Yes,8,0
8,88,Yes,7,4
1,92,Yes,7,7
6,85,Yes,6,5
5,89,Yes,6,7
6,42,Yes,6,6
5,61,No,8,1
6,58,Yes,8,7
5,74,No,5,3
5,51,No,9,4
4,93,No,9,7
3,44,No,4,4
3,49,No,8,4
4,80,No,5,5
9,72,No,5,6
2,52,Yes,7,8
9,74,Yes,8,6
1,90,Yes,5,5
1,71,No,7,9
5,50,Yes,4,3
6,87,No,7,9
6,77,No,4,1
3,63,Yes,9,8
7,74,No,9,9
9,58,No,6,4
8,45,Yes,6,4
6,79,No,7,2
8,93,Yes,6,2
5,84,No,8,0
8,83,No,7,4
4,81,Yes,5,2
8,74,Yes,8,1
2,43,Yes,7,8
5,72,No,9,9
9,52,No,4,5
4,95,Yes,6,2
6,75,Yes,6,6
1,93,Yes,6,8
9,82,No,7,8
1,58,No,8,0
5,82,Yes,4,1
4,51,Yes,6,7
3,50,Yes,8,0
6,45,No,5,2
2,51,Yes,9,6
3,66,Yes,5,7
5,80,Yes,4,4
9,64,No,6,1
2,81,No,5,2
8,42,Yes,9,8
2,42,No,8,9
5,59,Yes,8,6
7,67,Yes,5,0
8,62,Yes,6,2
1,87,Yes,9,8
6,42,No,4,6
1,81,Yes,6,1
2,63,Yes,7,5
1,82,No,5,8
5,79,Yes,7,3
9,45,No,5,9
6,59,Yes,4,1
1,50,Yes,6,2
1,71,Yes,9,6
2,99,Yes,6,3
9,66,No,5,6
3,60,Yes,8,4
1,83,No,7,7
5,87,No,9,7
7,89,No,9,4
6,52,Yes,6,6
1,61,No,6,5
5,74,No,5,7
5,86,No,8,8
6,61,Yes,7,4
3,67,Yes,8,6
5,60,No,9,0
7,85,No,8,7
5,57,Yes,5,2
5,70,No,8,0
5,99,No,7,5
3,85,No,9,7
1,76,Yes,4,2
5,60,No,9,0
9,53,No,4,2
1,64,Yes,7,4
3,66,No,9,7
4,79,Yes,9,8
1,99,Yes,9,8
1,99,Yes,9,3
8,62,No,5,7
2,70,No,6,4
8,86,No,9,2
7,99,No,5,4
2,68,No,7,1
6,86,No,9,5
6,69,No,8,0
3,90,No,9,5
2,65,Yes,9,4
1,59,No,4,8
6,77,No,8,6
5,58,Yes,9,5
9,66,No,9,6
1,64,Yes,9,9
7,79,No,5,4
5,77,No,7,0
5,91,Yes,4,8
2,62,Yes,9,4
3,68,No,7,3
7,54,Yes,4,5
6,98,No,4,4
2,42,No,4,0
6,49,No,9,1
2,54,No,5,3
2,95,No,9,7
2,55,No,9,4
3,56,Yes,7,6
2,58,Yes,6,1
4,50,Yes,6,7
9,87,No,6,4
6,44,Yes,7,3
1,44,No,8,8
8,97,Yes,7,5
7,53,No,4,3
3,89,No,9,7
1,65,No,8,2
5,47,No,4,9
4,44,No,9,1
8,46,Yes,9,6
1,55,No,4,3
1,94,Yes,7,3
4,53,No,6,9
8,76,No,8,8
5,95,No,9,1
2,80,Yes,5,0
6,43,No,9,6
5,75,Yes,6,7
2,87,No,9,2
3,95,Yes,5,1
9,56,Yes,7,3
7,86,Yes,9,1
7,75,No,8,1
6,45,No,7,4
8,55,Yes,5,9
4,68,No,4,4
8,75,No,9,7
4,77,No,7,8
8,76,Yes,9,1
9,87,Yes,8,0
3,96,No,9,2
3,87,Yes,7,5
2,49,No,6,4
3,80,No,7,7
3,75,Yes,5,7
5,68,Yes,7,1
5,53,No,8,8
2,43,No,7,3
6,83,No,7,0
5,95,Yes,8,1
6,81,Yes,7,5
1,75,No,8,4
5,89,No,5,6
9,84,Yes,8,8
2,52,No,5,5
1,85,Yes,5,5
9,57,Yes,8,1
9,72,No,7,6
9,60,No,9,1
6,55,Yes,6,6
8,54,No,9,7
1,93,Yes,8,0
4,96,Yes,7,8
1,44,Yes,5,7
8,45,No,4,8
1,77,No,6,4
3,42,No,9,3
4,87,Yes,7,0
8,51,Yes,6,8
6,75,Yes,4,3
7,72,Yes,4,3
8,75,No,4,3
2,72,No,9,1
8,70,No,8,3
3,60,Yes,6,1
7,66,Yes,8,7
3,66,No,4,6
7,47,Yes,7,9
2,95,No,4,1
6,76,Yes,8,1
3,71,Yes,4,1
3,65,Yes,4,0
9,41,Yes,8,5
7,51,Yes,8,5
5,61,No,7,0
7,56,No,8,0
9,46,No,7,5
1,82,Yes,5,5
7,43,No,5,3
6,76,No,8,2
9,77,Yes,4,8
1,71,Yes,6,5
4,50,No,4,0
9,40,No,8,2
4,64,No,7,0
3,81,No,4,2
9,91,No,5,1
2,63,Yes,9,4
4,92,No,8,2
6,82,No,4,6
2,95,No,9,7
8,56,No,4,6
8,47,No,7,1
1,98,No,7,9
3,84,Yes,7,9
9,66,Yes,9,6
5,91,Yes,6,9
6,57,No,9,2
4,66,No,8,6
2,61,Yes,8,0
8,55,No,5,1
6,41,No,5,9
5,44,No,8,0
9,57,Yes,4,8
1,42,Yes,8,1
5,66,Yes,6,1
6,93,No,5,5
5,56,Yes,5,6
6,55,Yes,9,1
6,45,Yes,5,3
7,90,No,8,2
4,46,Yes,5,4
8,89,Yes,5,8
7,53,No,9,1
9,77,Yes,8,4
7,79,No,4,7
3,54,No,5,5
3,86,Yes,5,3
8,86,Yes,5,9
5,87,Yes,6,7
4,72,No,8,2
8,82,Yes,5,3
6,66,Yes,6,8
2,68,Yes,4,4
4,96,No,4,5
4,76,No,9,1
6,44,No,9,8
6,68,Yes,9,7
1,71,Yes,6,6
8,99,No,4,8
6,92,Yes,9,4
3,45,Yes,7,4
9,41,No,9,8
2,45,No,4,4
8,85,No,7,8
3,82,Yes,6,0
5,43,Yes,7,9
6,95,Yes,4,9
6,68,No,5,7
4,98,No,7,2
3,64,Yes,4,7
4,48,No,9,4
1,95,No,5,1
4,42,Yes,6,8
1,65,No,6,3
1,87,Yes,8,6
6,82,No,6,7
5,66,Yes,8,6
4,75,No,6,5
3,71,Yes,6,6
1,40,No,6,3
6,96,No,8,9
2,92,No,9,0
8,93,No,8,4
5,55,No,7,7
7,90,Yes,4,9
2,87,Yes,4,5
8,50,Yes,9,4
2,65,No,4,1
4,79,Yes,6,9
1,94,No,9,4
5,40,No,4,9
9,65,Yes,8,2
1,67,Yes,7,1
9,92,No,5,2
8,97,No,7,3
6,48,Yes,4,1
7,99,Yes,9,3
3,98,No,4,3
1,83,No,8,5
5,61,Yes,7,4
2,47,No,8,6
5,97,No,8,6
8,88,Yes,5,2
9,81,Yes,8,8
2,66,No,8,6
3,78,No,5,6
3,58,Yes,6,1
1,64,No,6,9
8,77,Yes,9,2
6,60,No,5,2
8,63,Yes,9,5
9,63,No,9,3
5,99,No,8,3
3,99,No,9,0
5,58,Yes,4,5
5,89,Yes,7,7
5,86,Yes,4,7
3,41,No,4,7
4,53,No,8,4
9,92,Yes,7,9
9,71,Yes,9,5
2,81,No,7,4
8,71,No,9,3
8,67,No,6,3
7,87,No,5,3
8,78,Yes,8,3
3,79,Yes,9,5
6,81,No,9,5
1,86,No,7,4
7,79,No,8,8
1,52,Yes,9,7
9,51,Yes,6,9
1,47,No,4,5
1,54,No,9,8
7,65,No,7,4
2,51,No,6,9
5,82,No,8,3
8,90,No,9,5
8,85,Yes,6,3
3,66,Yes,6,7
7,57,Yes,6,6
3,84,No,6,4
6,75,No,6,9
6,88,No,6,5
3,90,Yes,5,6
7,66,No,8,1
3,48,Yes,4,8
8,94,No,8,6
4,78,No,7,7
1,40,No,7,4
4,46,Yes,8,2
7,65,Yes,6,1
4,46,Yes,5,1
6,91,No,4,2
9,46,Yes,9,0
1,47,No,9,0
5,55,No,6,6
7,42,Yes,8,9
1,84,Yes,9,7
4,49,No,8,5
6,89,No,5,6
2,46,No,5,0
5,60,No,8,0
1,92,Yes,6,8
6,76,Yes,6,4
6,70,Yes,6,6
4,62,No,9,5
8,96,No,4,3
4,66,No,4,0
8,95,Yes,6,3
8,61,No,8,9
5,78,No,5,9
4,96,Yes,7,7
2,66,Yes,5,0
3,93,No,5,1
3,88,Yes,7,7
4,43,No,6,1
4,63,Yes,5,9
5,62,No,7,8
4,87,Yes,9,2
8,58,Yes,8,2
6,81,Yes,8,5
6,42,Yes,8,2
8,66,No,6,8
7,42,No,5,7
8,67,Yes,5,3
2,56,No,4,5
9,70,Yes,8,7
1,49,Yes,6,3
8,88,No,7,4
4,61,No,6,6
4,69,No,5,7
5,88,No,8,6
8,60,No,4,7
5,75,No,9,3
8,92,No,6,0
1,62,Yes,4,5
9,77,No,5,4
6,51,Yes,7,3
3,64,No,6,1
8,93,No,9,0
9,96,Yes,5,8
6,59,Yes,8,1
7,88,Yes,6,8
1,88,Yes,4,5
5,81,No,6,5
5,46,No,5,1
4,68,Yes,5,5
6,87,Yes,4,2
7,68,No,9,6
9,52,No,5,9
1,42,Yes,6,3
6,41,No,9,8
7,55,No,4,4
3,69,Yes,5,9
8,77,Yes,5,2
5,45,Yes,6,0
9,84,Yes,5,0
5,46,No,6,3
9,44,Yes,8,9
4,95,No,9,9
9,46,No,6,3
5,73,No,7,8
9,71,No,5,7
3,88,Yes,8,3
4,52,No,9,5
9,69,Yes,4,6
6,64,No,7,9
2,60,Yes,4,7
7,99,No,7,3
2,98,No,8,0
2,60,Yes,9,4
1,67,Yes,8,0
3,87,Yes,8,3
6,97,Yes,7,6
8,59,No,6,6
9,73,No,9,0
7,44,No,4,8
4,57,No,6,1
6,99,No,6,4
5,78,Yes,5,5
8,82,Yes,4,0
1,96,No,7,1
1,96,Yes,5,6
6,50,No,5,5
2,93,No,8,5
5,56,Yes,7,5
1,87,No,6,6
7,84,Yes,9,9
1,61,No,6,8
4,76,Yes,6,8
9,59,No,8,1
1,87,No,6,1
4,99,Yes,4,4
6,93,No,6,9
6,93,No,6,6
8,87,Yes,4,2
1,87,Yes,8,2
7,85,Yes,5,3
1,45,No,7,2
7,73,Yes,8,2
3,53,Yes,6,7
8,87,Yes,5,6
3,62,No,7,6
1,59,Yes,7,9
8,52,No,7,1
3,86,No,4,8
2,83,Yes,4,5
1,80,No,5,2
3,71,No,6,8
2,65,No,5,8
2,89,No,6,5
6,92,No,8,9
1,53,Yes,7,5
2,91,Yes,7,7
6,96,Yes,4,7
3,75,No,8,5
4,47,Yes,9,6
1,79,No,8,3
8,61,No,6,0
7,61,No,8,3
7,55,No,4,7
3,66,Yes,6,7
3,95,No,5,1
2,99,Yes,6,6
1,99,Yes,5,0
7,49,No,9,1
7,64,Yes,6,7
2,70,Yes,7,9
7,60,Yes,9,3
8,66,No,5,2
1,56,No,4,1
9,72,No,9,5
7,70,Yes,9,3
3,89,Yes,9,2
8,81,No,5,2
7,65,No,5,9
8,60,Yes,6,2
6,75,No,7,7
9,40,No,9,8
5,43,Yes,6,8
3,43,Yes,6,4
3,65,No,7,0
1,43,No,6,9
8,88,No,7,4
2,48,No,4,0
3,69,Yes,7,8
8,90,No,8,9
8,84,No,7,7
4,43,Yes,7,6
4,44,Yes,8,1
5,84,Yes,7,1
6,62,Yes,5,3
5,55,Yes,6,8
7,61,Yes,6,8
2,76,Yes,4,7
7,47,No,4,4
7,87,No,8,6
1,72,Yes,5,8
7,94,No,4,2
5,99,No,6,3
3,77,Yes,4,1
3,82,Yes,4,8
4,55,Yes,7,6
2,44,Yes,4,5
2,55,Yes,8,4
1,46,No,6,6
5,90,No,8,2
4,40,Yes,8,4
2,48,Yes,9,1
3,57,No,5,4
7,84,No,9,6
7,97,No,9,9
4,86,Yes,7,6
5,42,Yes,8,8
5,63,No,5,2
6,67,Yes,6,7
9,49,No,6,4
2,48,Yes,5,6
5,52,Yes,8,0
3,87,No,8,0
4,74,No,7,3
6,93,Yes,7,4
8,62,No,9,9
1,86,Yes,6,2
8,56,No,7,5
7,85,No,5,2
1,46,Yes,6,4
2,91,Yes,8,0
3,55,Yes,6,2
1,92,No,4,6
9,79,No,6,2
8,75,Yes,7,4
2,59,No,5,6
9,63,Yes,8,1
7,86,Yes,8,2
9,44,Yes,7,3
6,84,Yes,7,4
6,45,Yes,7,8
4,67,No,4,8
2,98,No,5,3
7,44,Yes,4,8
5,88,No,7,3
6,78,Yes,5,1
2,77,No,7,9
5,41,No,5,0
4,82,Yes,8,6
9,78,No,4,3
6,93,Yes,9,7
2,60,No,7,7
1,79,Yes,7,7
5,76,Yes,6,5
9,98,Yes,9,8
6,57,Yes,8,3
7,93,Yes,7,4
5,87,Yes,4,3
6,85,No,8,4
5,51,Yes,7,1
9,56,No,4,4
6,76,Yes,6,9
8,85,No,6,7
2,77,Yes,4,8
9,54,Yes,8,6
5,46,No,4,6
7,53,Yes,9,5
1,89,Yes,4,1
5,40,Yes,6,9
2,77,Yes,6,9
6,42,No,6,8
1,76,Yes,9,4
3,83,No,7,5
5,70,Yes,9,0
4,82,Yes,7,4
3,52,Yes,9,5
5,87,Yes,5,9
8,57,No,7,1
4,56,Yes,8,6
1,56,Yes,8,3
7,50,Yes,6,4
8,59,No,9,2
3,49,No,4,4
6,68,No,6,3
2,87,No,4,9
7,73,Yes,9,5
8,56,Yes,6,1
6,93,No,6,2
6,91,Yes,8,9
5,81,Yes,4,0
8,52,No,5,6
1,83,Yes,5,8
4,86,No,6,1
4,78,No,9,6
3,66,No,6,2
3,93,No,8,4
4,92,No,4,5
1,65,No,6,7
2,67,Yes,9,3
9,52,Yes,5,1
2,51,Yes,4,2
5,83,No,6,7
9,67,No,4,6
9,41,No,8,5
8,76,Yes,5,4
1,96,Yes,9,4
1,96,No,4,0
9,73,No,5,5
8,62,No,6,8
9,97,No,9,7
7,91,No,9,9
3,84,Yes,7,0
3,68,No,4,5
2,74,No,5,2
5,50,No,4,5
3,87,No,6,8
6,72,Yes,6,5
2,90,No,9,7
3,50,No,9,5
5,48,No,5,5
1,53,Yes,8,6
1,48,No,4,9
9,78,Yes,4,3
7,87,No,6,7
1,42,No,4,3
8,68,No,5,6
3,58,No,7,0
8,75,No,9,8
5,71,No,6,9
1,46,No,9,8
7,94,No,9,6
5,67,No,9,7
6,83,Yes,7,1
6,57,Yes,4,9
8,99,Yes,8,9
9,44,Yes,9,6
2,62,No,5,0
9,94,No,9,2
9,61,Yes,9,5
7,65,Yes,4,4
1,81,Yes,5,4
7,51,Yes,4,8
5,79,No,9,5
6,58,Yes,4,2
7,86,No,4,1
5,40,No,6,8
7,42,No,7,9
9,66,Yes,8,3
3,57,Yes,7,4
8,89,No,7,8
2,69,Yes,5,4
7,41,Yes,6,6
2,44,No,6,1
4,68,No,4,1
7,72,Yes,7,3
3,81,No,8,7
2,59,Yes,5,1
7,69,Yes,6,9
1,81,No,4,6
8,44,No,8,0
3,89,Yes,7,8
2,60,No,8,9
3,97,Yes,6,5
5,54,No,5,0
8,59,Yes,7,9
7,47,No,5,5
7,88,Yes,9,4
7,70,Yes,8,4
8,51,No,8,4
1,60,Yes,4,3
4,69,Yes,7,6
6,66,Yes,8,8
9,83,Yes,6,3
2,65,Yes,9,1
1,72,No,6,1
2,65,Yes,5,1
7,65,Yes,9,6
3,75,Yes,9,3
2,79,No,6,3
7,40,No,8,0
2,98,Yes,6,3
3,54,Yes,7,5
7,89,No,5,1
4,40,No,9,3
1,50,Yes,7,6
5,94,No,8,8
9,41,Yes,8,1
8,40,Yes,6,7
9,70,Yes,4,5
9,83,No,9,7
7,55,Yes,9,1
4,93,Yes,4,0
5,61,No,8,6
1,81,Yes,8,8
1,57,Yes,9,8
3,86,Yes,5,1
8,56,No,9,3
2,69,No,8,0
4,49,Yes,8,6
2,74,No,5,1
5,97,Yes,7,3
9,60,Yes,7,1
1,55,No,5,0
5,45,No,5,6
9,42,Yes,7,5
1,80,No,7,1
9,82,No,7,3
8,60,No,7,2
4,52,Yes,9,2
5,57,Yes,9,2
5,97,No,6,3
6,93,Yes,5,0
7,99,Yes,4,0
8,63,No,6,6
8,66,Yes,4,4
2,93,No,4,2
9,43,Yes,8,8
7,61,Yes,5,4
4,63,No,9,9
4,79,Yes,6,2
8,84,No,5,8
4,49,Yes,7,0
6,41,Yes,5,8
5,79,Yes,4,4
3,45,No,9,5
2,87,Yes,7,1
9,57,Yes,5,7
9,56,No,5,2
1,77,No,9,0
3,84,Yes,4,6
8,62,No,7,2
6,85,No,4,3
5,69,No,9,4
5,97,No,5,0
6,60,Yes,6,8
7,49,No,6,6
1,95,Yes,8,1
9,82,Yes,6,0
3,52,Yes,9,1
4,51,No,9,2
1,48,No,9,2
